Heirarchy Group,Order Within Group,Name,Level,Rack,PV Prefix,PV Suffix,OK If Equal To,Faulted If Equal To,Three Letter Code,Severity,Short description for display help,Comments
3,1,SSA Permit,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,SSA_LTCH,0,,SSP,2,SSA permit to turn on faulted,
3,2,SSA Faulted,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,SSA:AlarmSummary.SEVR,,3,SSA,2,SSA not on,
3,2,SSA Faulted,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,SSA:AlarmSummary.SEVR,,2,SSA,2,SSA not on,more 
3,3,LLRF has shifted the frequency,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,FREQ_OFFSET.SEVR,0,,FRO,2,LLRF Frequency is offset from nominal - look at PV severity,
3,4,"He Level, He Pressure, and Cryo Heartbeat are summed",CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,CRYO_LTCH,0,,CSI,2,"CM Cryo Summary (He pressure, He Level, Cryo Heartbeat, and CP Ready) faulted",we need to find out from andrew where he's alarming (what limits is he using)
4,1,Resonance/Interlock Link ,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,RESLINK_LTCH,0,,RLK,2,Resonance/ Interlock Link,
4,2,FPGA PLL Lock,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,PLL_LTCH,0,,FPG,2,,
4,3,EPICS IOC Watchdog,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,IOCWDOG_LTCH,0,,IOC,2,,
4,4,Beamline Vacuum,RACK,A,ACCL:{LINAC}:{CRYOMODULE}00,BMLNVACA_LTCH,0,,BLV,2,Beamline Vacuum too high,
4,4,Beamline Vacuum,RACK,B,ACCL:{LINAC}:{CRYOMODULE}00,BMLNVACB_LTCH,0,,BLV,2,Beamline Vacuum too high,
4,5,Coupler Vacuum ,RACK,A,ACCL:{LINAC}:{CRYOMODULE}10,CPLRVACA_LTCH,0,,CPV,2,Coupler manifold vacuum too high,I think these are {CRYOMODULE}10 for all cavities in a cryomodule
4,5,Coupler Vacuum ,RACK,B,ACCL:{LINAC}:{CRYOMODULE}10,CPLRVACB_LTCH,0,,CPV,2,Coupler manifold vacuum too high,
4,6,Coupler Temperature 1,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,CPLRTEMP1_LTCH,0,,CP1,2,Temperature sensor on the top of the coupler indicates high temp.,
4,7,Coupler Temperature 2,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,CPLRTEMP2_LTCH,0,,CP2,2,Temperature sensor on the bottom of the coupler indicates high temp.,
4,8,Stepper Temperature,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,STEPTEMP_LTCH,0,,STT,2,Temperature sensor on cavity tuner stepper motor out of tolerance.,
4,9,Quench,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,QUENCH_LTCH,0,,QCH,2,LLRF system detected a cavity quench,
4,9.5,Resonance chassis Summary,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,RESINTLK_LTCH,0,,RES,2,Resonance Chassis Summary Fault,"Need to look up this PV, Janice"
4,10,Interlock Summary Fault,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,RFPERMIT,1,,RFP,2,Latched cavity interlock summary fault,
4,11,Hardware summary status for piezo ,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,PZT:HWSTATSUM,,2,PZT,2,Piezo Hardware Fault,
4,12,Hardware summary status for stepper,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,STEP:HWSTATSUM,,2,STP,2,Stepper Hardware Fault,
5,1,Cavity Characterization needs to be run ,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,CAV:CALSTATSUM,,2,CVC,2,"Due to changes in the LLRF system, the cavity characterization needs to be run.",
5,2,Cavity Controller problem,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,CTRL_SUM.SEVR,0,,CTL,2,Cavity LLRF controller misconfiguration ,"3/11/22 Added by Sonya, feel free to revisit 3 letter code"
5,3,RF (not) Ready for Beam,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,RFREADYFORBEAM,1,,RFR,2,RF not ready for beam: mode is not SELAP and/or RF is off,
6,1,Piezo feedback not on,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,PZT:MODECTRL,1,,PZF,2,Piezo Feedback is not on,
6,2,Piezo feedback indicating problem,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,PZT:FBSTATSUM,,2,PZO,2,Piezo Feedback is indicating a problem,"Ask Sonya if such a thing exists and if so, what is it?"
7,1,Amplitude feedback of measured gradient is too low,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,AMPFB_SUM,0,,AFB,2,The feedback maintaining the amplitude is unable to keep the amplitude within tolerance. (Must be checked after RFREADYFORBEAM),
7,2,Phase feedback shows phase out of tolerance,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,PHAFB_SUM,0,,PFB,2,The feedback maintaining the phase is unable to keep the phase within tolerance. (Must be checked after RFREADYFORBEAM),
7,3,Summary of the feedback errors,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,FB_SUM,0,,FBS (FBS?),2,The feedback is unable to keep either phase or amplitude within tolerance. (Must be checked after RFREADYFORBEAM),
8,1,Amplitude Jitter,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,AMJ,1,(maybe not needed),leave these blank for now
8,2,Phase Jitter ,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,PHJ,1,(maybe not needed),
8,3,"Any statuses from the cryo instrumentation list for specific cavities (vs CM as a whole)? Heater, HOM coupler clamp temps, including Helium level and pressure",CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,CCR,1 or 2,"If these turn yellow, put some warning up on the display",leave this blank for now
8,4,"Any analog instrumentation that feeds an interlock if it turns yellow, show it, including Helium level and pressure",CM,,ACCL:{LINAC}:{CRYOMODULE}00,,,,,,,leave this blank for now
,,,,,,,,,,,,add ds pressure
